KO.PLT_PBMC_Vehicle_REP1	KO.PLT_PBMC_Vehicle_REP2	KO.PLT_PBMC_Vehicle_REP3	KO.PLT_PBMC_Vehicle_REP4	WT.PLT_PBMC_Vehicle_REP1	WT.PLT_PBMC_Vehicle_REP2	WT.PLT_PBMC_Vehicle_REP3	WT.PLT_PBMC_Vehicle_REP4
Pfdn6	3326.999	1247.999	216	922.998	1111.993	1468.003	1237.999	2201.994
Wdr46	1834	984	158	870.001	522	828.995	900	1758
Rnf138	662	231	32	139.999	303	251.001	260.999	449
Vps52	2696.999	1210.97	258.001	1416.086	838.98	1288.998	1207.993	2659.901
Ring1	1659.001	536	102	526	248	591	508	1030
Slc39a7	6553.715	2659.272	473.415	2179.207	1593.726	3205.121	2915.469	5350.158
Col11a2	90.081	32	7	43	10	61	21	70
H2-Oa	81.995	15.976	13	21.985	18.888	53.775	34	94.851
Brd2	12535.666	5581.67	922.99	6041.216	3776.865	5496.763	4674.339	9843.756
Psmb8	10701.216	3751	812	2908.768	3778.051	4030.013	3721.335	6976.271
Tap2	5273.645	1611.401	413.99	1715.947	1050.376	2201.07	1751.674	3548.139
Pfdn1	1389	684	120	553	696	689	558	1212
Sting1	1318.001	516	117.999	504	434.999	498.999	450	1102.999
Dnajc18	1299	634	110	705	449	357	374	915
Mzb1	18	12	3	1	19	24.982	54	4
Sil1	438	166	28	159	186	255	169	280
Hspa9	5017.997	1591.997	381	1579.999	1607.982	2222.999	2122.999	4437.999
Etf1	4075	1593	300	1555	1656	1942	1724	3729
Nelfe	1527.999	426	86	517	367	592	610	1002.999
Cdc23	3495.563	1436.071	284.939	1326.008	1059.958	1180.937	1049.833	2724.311
Stard4	2511.999	671	145.967	500.999	409.919	640.001	575.001	1400
Bin1	1264.703	504.001	85.913	396	514	630.817	578	1171.952
Ercc3	635	337	46	283	188	264	375	603
Map3k2	2195	885	239	800.999	885.001	1049	896.999	1982.92
Iws1	1768	549.999	138	571	441	618	717	1368.628
Csnk2b	1495.999	392	104	460	446	745.999	695	1229
Bag6	3724.999	1334.999	212.999	2024.999	346.999	1470.998	1318	2707.1
Prrc2a	4173	1185	233	2834.001	461	1710.999	1116.999	2486.001
Aif1	1605	654	138	495	807	898	665	1594
Ltb	896.999	395	72	272	326	292	283	391
Wdr33	3699	1270	307.001	1383	1072.999	1429.001	1192	2623
Tnf	277	66	17	77	80	194	199	192
Atp6v1g2	54.1	70.256	10	41.999	35.469	32	35.037	94.419
Riok3	7338.514	3238.788	562.606	2727.136	2547.559	3211.099	3000.936	5880.871
Rmc1	3089.522	1159.273	219.631	1105.316	871.958	1408.892	1283.099	2336.934
Npc1	5365.312	2068.726	385.366	1964.348	1522.996	2494.109	2261.471	4740.028
Mrpl27	2061.893	775.957	149	602.804	764.193	773.832	737.826	1655.063
Dhx16	1536	580	117	451	332	712	656	1412
Impact	3358	2048	315	2093	1632	1086	921	2697
Ttc39c	990.999	323.999	79.001	399	173.999	286	318	802.999
Ndfip1	9466	2900	662.999	2627	3820.001	3635	3520.01	6404
Atat1	457.564	278.996	34.758	247.968	206.032	239.514	234.753	410.361
Gnl1	774.685	366.999	45	314.98	269.999	350.834	352.94	511.985
Nr3c1	6270.999	2809.999	499	2696	2391	1902.001	2124	4146.999
Mrps18b	1841.321	796.451	165.382	571.512	662.333	937.819	706.867	1519.217
Dele1	866.703	356.758	48	144.001	233.921	508.898	317.992	687.205
Rpp21	2218.001	793.001	182	431	707	1089.001	874	1727
Arap3	690.999	297	47	323.999	105	177.999	171	304.001
Hdac3	3464.999	1367	261.999	1315	1028	1532.999	1408.999	3228.999
Diaph1	5566	1813	471	2373	1411	2375	1881.001	4025
Trim26	2451.034	1392.02	232	980.897	809	1181	1143.068	1975.092
Dcp2	469	186	19	167	113	232	180	361
Ik	6658	2780.001	566.999	2222.999	2792.999	2437	2494.001	5056.997
Pggt1b	3057.001	1112.001	215	1037	1131	923.999	975.998	2261
Ap3s1	5840.053	2315.215	417.991	2413.299	2094.192	2015.547	2065.274	4505.761
Ankhd1	1608.474	573.412	122.221	547.139	673.07	434.51	509.248	1042.505
Yipf5	2275	777	143	606	950.966	1150	1014.999	1839
Rbm27	1470	551	150	447	793	528.999	621	1140.992
Lars	2989.999	1104.999	201.001	812.999	876	957.999	1064	2017
Tcerg1	4677	2035	400	1627.999	1758	1928.999	1585.999	4039.897
Dtwd2	305	181	11	100.999	103	160.001	79	238
Hsd17b4	2655	1074	207	763	939	1026	1113.999	1946.001
Mbd2	378	154	32	81	199	221	164.001	389.001
Smad4	596	173	45	150	240	178	147	297
Sec11c	7741.001	3455.999	624	3029	2892	2771	2862	5195.999
Pmaip1	15814	6651	1193	4850	6472.997	4672	4856	11317
Gnal	176.659	36.976	13.731	28.849	66.887	40.685	32.989	3
Impa2	548	135	33	149	123.977	210.997	189	276.965
Afg3l2	3142	1401.001	227	1095	1107	1202	1172	2812
Srfbp1	1123	481	74	316.999	448	508	459.001	849
Spire1	155.999	83	11	25	38	26	24	49
Snx24	50	28	6	16	53	27	32	143.999
Psmg2	274	193	39	179	162	192	172	406
Ptpn2	2470	879	168	549.001	745.999	826	865.001	1524.999
Cep192	690	251.001	48	283.001	190	281.001	339.999	648.999
Ldlrad4	344.192	195.017	31.012	229.704	82.903	248.95	180.971	214.959
Me2	12115	5689	1073	4703	4995	3537	3894	9217.999
Cxxc1	4852	2121.999	367	2252	928.001	2037	1917.001	4067
Mbd1	3466.999	1544.999	308.999	1439.001	1139	1376	1054	2594
Smad2	2513.001	860	169.999	704	687	897	816	1801.999
Atp9b	3282	1246.999	240.001	1357	824	1291	1243.001	2856
Rbfa	1815.093	572.589	87.751	486.352	450.408	940.345	807.868	1191.96
Csnk1a1	14641.999	5752.999	1029.001	5319	4721	5765	5593	11150
Pcyox1l	118	69	2	39	29	41	35	100
Grpel2	1146.928	401.988	86	407	344.78	447	547.958	1017.823
Napg	2015.345	742	203	882.001	855.002	871.001	797	1352.999
Txnl1	3056.999	995	226.999	1078	1148	1625.998	1390	2277.001
Nars	10012	4576.001	860	3248.001	4448	3882.999	3721.001	8336
Fech	3055	1277	193	1273.998	972.999	1011.001	789.001	2501.001
Nedd4l	1320.658	537.613	93.999	358.873	542.289	434.178	437.293	865.939
Lmnb1	365	194	42	154	185	204	190	230
C330018D20Rik	331.999	159	43	155	175	143	162	345
Prrc1	3462	1271.001	220	1594	805.001	1340	1368	2686.986
Slc12a2	88	24	8	79	34	41	34	74
Isoc1	1244	780	115	705	490	286	321	673
Dctn4	2898.999	1430.999	196.001	1246	1386	1230.001	1010.001	2355
Rbm22	5200	2751.001	472	2244.999	1793	1965	1692	4088
Rps14	14162.609	5988.625	1181	3742.801	5585.866	6677.379	5779.013	11119.609
Cd74	227527.364	90743.068	19085.05	64997.124	94708.01	87476.291	84610.09	170637.098
Tcof1	5590	3024.999	428.001	2566	1200.002	2255.999	1882	4030.999
Tmx3	3542.009	1176	275.999	993.027	1372.999	1425.015	1312.032	2202.003
Pdgfrb	165	23	33	106	23	36	55	91
Csf1r	65947.152	22078.896	4726.18	17767.162	15354.237	29456.76	25149.502	49272.579
Hmgxb3	1439.849	737.104	163.82	921.839	312.765	707.241	555.499	1699.421
Gnaq	5508	2539	442.001	2306	2197	2329	2205	5032.319
Psat1	72	13	12	18	41	43	43	48
Tle4	750	305	71	197	393	253	326	923.865
Cndp2	5653	2289	492	1965	1915.001	2867.993	2339	4947
Timm21	698	297	61	237	283.98	327	290	582.999
Cyb5a	49485.001	18607	4295	14557	15862.999	19248	18083	36689.001
Asrgl1	335	92	29	78	134.115	109	119	191
Anxa1	6882	1624	444	1004	3110	3149.001	2994	4856
Incenp	1014.001	447.001	57	428	280	459.001	356	663.001
Fth1	643288.071	160332.897	42101.812	127123.603	203541.264	388493.656	332053.745	509099.507
Rab3il1	365.001	165	16	108.999	126.001	119	123	292.001
Fads2	46	3	1	11	1	58	35	71
Tmem138	211.456	107.534	28.188	40.175	117.455	140.566	108.117	284.405
Tmem216	214	90.338	12.03	60	10	52.999	55.412	79.071
Sdhaf2	1581.001	517.001	128	450.999	697.697	674	649.197	1241
Ms4a7	594.999	534	75	354.001	559.001	600.999	579	939
Ms4a4c	1351.297	638.906	139	570.939	657.783	477.569	543.256	1002.171
Ms4a6b	6089.118	2143.761	418.19	1407.665	2320.681	2289.154	2171.83	4120.816
Ms4a6d	16587.99	5251.394	1162.795	4278.264	7093.084	6419.532	6605.831	11032.128
Mrpl16	722	321	58	195	354	291	282	461
Osbp	47	34	7	31	60	33	27	50
Fam111a	1561	564.999	167	675	885.001	625	625	1158.849
Zfp91	936.998	401	87.247	439.316	543.659	365	347.836	551.233
Lpxn	2092	657	153	638	1066	1415	1279	2290
Rfk	1767	655	149	563	993	780	708	1495
Ostf1	21660	8146	1552.999	7168	8169.001	8833.863	8084	15954.999
Carnmt1	881.801	304.195	89.506	276.265	410.135	325.539	357.072	670.683
Ms4a8a	140	95	12	75	58	76	79	112
Ccdc86	1829.964	725	164	484.991	745.984	895.995	1029	1841.986
Prpf19	1757.999	460	95	753.001	331.001	649.992	560.955	1233.994
Tmem132a	529.354	151.972	12.778	126.471	54.778	174.356	171.019	292.475
Slc15a3	4703.647	1799.029	314.222	1950.507	1054.222	2310.643	1794.98	3852.524
Ddb1	11004.996	3550	713	3791.999	2355.001	4781.907	3774.999	9096.982
Fen1	3387.367	1692.556	234.194	1516.744	1229.594	1006.99	1079.742	2247.818
Zfand5	4524.999	1947.999	402.999	1477.001	1916.999	1837.999	1921	3982.999
Cemip2	661	168	36.001	143	123	243	277.001	482.997
Rtn3	5688	1984	409	1641	2354.001	2935.999	2951	4935
Atl3	971	434	83	325.001	194	601	525.001	916
Naa40	1538	353.999	102	536.001	317	922.377	544.283	1444.333
Lipo3	971.587	260	90.718	324.656	433.575	352.078	350.063	1041.179
Otub1	6859.999	4219	661	3491	3510.999	2420.999	2256	5331
Cdc42bpg	18	42	5	64	3.099	40	19	105
Ehd1	10508	3560	686	3740	2329	5365	4558.999	8663.995
Atg2a	1128	573.001	102	510.001	114.241	596.001	413	1116
Stambpl1	1643	856	128	546.995	741.999	634	670	1356.001
Ppp2r5b	1106	500	87	686.001	150	429	302	747.001
Fas	5776.999	2191.999	462	1790	1939.999	1989	1714	3681
Cdc37l1	2393.737	750.281	129.004	540.1	723.611	909.504	855.064	2011.804
Lipa	168321	57706	11786.999	47269.999	55427	70279.001	66813	128874.999
Ak3	646.608	276.97	39.604	129.85	193.275	279.342	229.146	430.371
Rcl1	524	217	24	113	115	257	190	564
Snx15	1694	593	141.001	571.001	309	622	612	1147.999
Jak2	928	317	55	293	455	322	409	838
Sac3d1	508	318	51	249	218	283	202	371
Zfpl1	3455.464	1553.525	296.876	1455	998.333	1285.276	1228.618	2704.788
Kif20b	196.999	70	15	57	21	42	79	91
Vps51	2790.03	1498.631	291.565	1194.001	839.588	1642.294	1347.332	2859.142
Tm7sf2	73	9	13	63	58.871	80	71.55	42.531
Rpp30	1372	372	82	386.999	580	390	400	833.001
Pcgf5	1501	541	121.001	530.001	410	419	551	980.962
Syvn1	4801	1663.001	310.999	1818.979	411	2153.503	1770.788	3891.006
Tnks2	1098.816	376.871	49	365	445.511	372.999	308.803	904.388
Tjp2	1155	344.001	116	552	261	499	413.999	1232
Frmd8	3625.725	1579.205	275.419	1409.841	724.38	1698.657	1419.321	2782.669
Uhrf2	702	385.999	72	407	345	315.999	322.999	616.001
Slc25a45	5500.999	1861	450	1507	1476	2312	2059.001	4668
Rad9a	2120.323	714.414	156.4	731.224	484.886	797.249	788.585	1530.035
Dpf2	9012.001	3784.001	814.001	3478.999	3593	3448.998	3344.001	6864
Mrpl21	1154.988	541.995	103.781	411.993	664.852	654.885	561.553	1106.852
Rps6kb2	1566.633	692.148	92.425	529.719	338	572.684	543.917	1074.433
Ighmbp2	424.001	135	34.211	196	205.114	226.033	137.387	399.093
Pola2	1098.001	309	67	452.001	266	465.001	339.002	658
Coro1b	28946.999	9055.699	1848.999	8013.122	7109.998	13197.829	11116.771	20818.613
Eif1ad	1921.11	528.675	120.681	535.911	674.568	852.439	635.168	1248.688
Cabp4	87.001	65	7	57	19.965	43	30	46
Chka	956	312	57.999	218.001	284.47	447.999	335.999	676.001
Banf1	5078.89	2218.326	426.32	1658.089	2070.432	2355.561	2131.832	3736.312
Tmem134	7963.001	3618.001	676.001	3692	1801.001	3013.999	2625	5372.001
Aip	8298	4232	626	3082	3473	3273.001	3051	6147.001
Pitpnm1	10021.998	3364.002	524.001	4440.001	1093	4416	3579.001	7164
Sf3b2	11397.485	4526.892	1032.001	4664.975	4507.006	5098.878	4288.613	8555.074
Pold4	1179	482	99	425	558.001	737	584.001	910
Pacs1	1705	725.999	104	816	262	1014	806	1348
Cdk2ap2	26568	10207	2347	7698	8855.999	11181	9809.001	17535
Grk2	4073.001	1497.001	341	1697	930.001	1668.451	1346	3077.999
Klc2	600.242	250.835	31	343.737	99.51	282.839	199.977	507.591
Rab1b	22015.001	10221.884	1782	9439	6476.001	7258	6569.999	15145
Yif1a	3861.999	1319	334.999	941	1436	1692	1480	3029
Cbwd1	254	90	16	114	79	86	119	201
Aldh3b1	14150.625	5081.286	1039.833	4256.148	4623.485	6247.242	5608.474	11040.943
Rce1	2362.001	930	165.001	865	613	853.001	830.999	1793.999
Slc29a2	259	87	13	33	58	102	107	214
Pcx	291	82	22	52	33	216	162	300.999
Minpp1	1293.426	676.597	77.585	495.511	390.51	449.048	491.03	1263.228
Apba1	365.994	102	24	107	42	146	144	267.99
Papss2	2414	975	187	743	1070	1503.999	1321	2686.001
Cpt1a	2739	972	209	1150.999	737.001	1330	1020	1923.001
Peli3	28	28	11	6	1	2	27	45.001
Mrpl11	1354.001	525.001	81	351.001	487	488.001	424.001	888
Tesmin	174	75	22	96	64	60	103	150
Mus81	681	340.961	56.999	117	131.004	278.979	240.928	415.027
Gal	170	14	10	29	19	33	16	43
Ppp6r3	3407.751	1328.151	353.999	1457.063	1260	1426.592	1328.999	2625.365
Fibp	2120.001	754.999	154	812.999	553	1124.999	836	1717.999
Fosl1	713.228	390.634	27.735	173.846	231.738	365.773	358.885	533.921
Lrp5	662.001	410	69	343	91	272	206	452.187
Drap1	1466	636	131.999	620	523.999	625	535	1057.001
Smarca2	2373.001	921.001	189	879	720.001	1007.999	570.126	1571.996
Rnaseh2c	1103.056	349.108	72.487	305.65	344.455	479.316	438.571	552.467
Kat5	5269.945	2037.892	381.512	2354.349	1278.545	1863.682	1828.429	3487.531
Rela	4751	2252	403	1620	968	1962.999	1539	3512.001
Ehbp1l1	11112.001	3638.999	699	4720	1473	5452.001	4240.259	8380.999
Fam89b	4113.997	1547.884	296.952	1704.007	840.6	1745.906	1541.35	3148.285
Ltbp3	87.315	20.11	5.024	63.662	48.22	26.417	51.687	102.313
Scyl1	4818.686	1642.889	341.978	1709.337	610.78	2373.582	2098.311	4657.687
Capn1	1341.924	405.82	83	445	173	637.798	484.554	1012.92
Smc5	2165	754	188	756	747	836.999	762	1878
Arl2	547.001	256	46.999	321	216	299	255.999	477.026
Men1	1440.999	536	87	559	191	700	490	1147.999
Map4k2	1033.001	292.999	49	315.001	140	466.001	401.407	680.999
Sf1	7531	2978.999	589	3023	1791	3553.001	3119	5862.587
Prdx5	33180.149	11142.787	2378.343	9122.392	9865.946	14734.559	12659.418	22143.529
Esrra	724	386	80	605.999	168	203	174	500.001
Gpr137	1026.001	288	46	408.168	105.896	481.29	296.177	507.102
Bad	2178.999	650	139	612.833	594.106	1023.711	878.824	1612.899
Plcb3	1607	746	185	895	352	1039.999	603	1200.001
Dnajc4	1255	439	102.999	426.999	386	408.999	478	750
Fermt3	28115	11761	2342	10052.996	7753.964	11261.961	10150.996	20118.979
Stip1	6593.716	2875.719	532.962	2343.691	2496.061	3039.672	2609.787	5195.558
Mark2	2117	821.999	163.999	628.001	432.001	665	637.002	1264.001
Spindoc	139.072	49.001	9	62.001	29	36.364	56	145.775
Smc3	2127	895	162	720	751	833	763	1562
Pdcd4	795	489	104	430	502	259	268	571
Shoc2	6048	3307	461	2882	2578	2029.999	1936.001	5064
Gpam	206.999	88	30	72	88.999	104	89	252
Acsl5	6821.975	2415.939	459	2082.999	2126.362	2745.643	2702.687	5595.911
Zdhhc6	5233.017	1851.058	366.001	1943.997	1636.609	2005.347	1881.31	3740.984
Vti1a	2820	745.999	197.999	833	779	1002.001	1096.999	1993.999
Tcf7l2	3701.001	2327	352.999	2357.001	1592.999	780.303	1173	2454.001
Hhex	845	411.001	98.001	438	427	437	372	761
Eif3a	8135	2887	611	2794	3490.999	3412	3099.001	7012
Dennd10	5761	2303.992	397	1553	2411.001	1951	1903.999	4029
Prdx3	1947	693	157	587	733	901	777	1507
Noc3l	721	227	30	209	121	331	241	685
Hells	185	130	22	114	95	106.999	85	179
Sorbs1	334	37	16.001	117.999	60.321	95	90	110.999
Aldh18a1	194	127	14	113	45	62.988	77	196
Tctn3	231	102	28	66	107	54	61	227
Ccnj	535	337	57	373	318	202	241	374
Tm9sf3	15098	8560	1249	6725	4600	3508	3481	9161
Pik3ap1	13732	4694	948	4852	3345	6724	5544	11275
Lcor	2847	883	230.001	744	787.001	1054	779.999	1741
Smndc1	1197.999	482.999	101	482	624.995	528.96	523	1099.974
Mxi1	1824.001	715.665	141	721	444	407.767	435	890.604
Add3	3964.001	1531.999	336	1408	1020	1656.998	1633	3500
Xpnpep1	3982.001	1812.999	276	1393	1224.874	1746.002	1539.001	3825.001
Trim8	1248	866	112	704	299	430	366	1057
Arl3	995	494	83.999	488	451.999	443.001	403	822
Sfxn2	486	211.999	27	163	127	140	118.999	268
Maoa	143	113	11	62	44	100	97	155
Fundc1	2386	1114	163	795	907	766	757	1934
Nt5c2	1344.796	542.64	112.001	566.999	585.999	708.001	650.967	1138.998
Msr1	12726	3816	928.999	2619.994	6685.999	8048	6999.999	12585.999
Pdcd11	641.901	271	66	184.819	229.001	413	330.996	672
Taf5	82	52	1	19	118	41	32	61
Pcgf6	339	155.999	33	151.001	125	75.999	124.001	181
Tasl	1315	632	133	453	642	582	462	985
Gk	3667	1413	218.001	1129.999	1983	1347.001	1462	2500
Slk	1081	408	105	381.999	635.001	435	424.001	819.001
Sfr1	3401	1542	230	1269	1198	1392	1399	2498
Gsto1	2051	834	179	582.001	1071	1291	1102	1841.999
Casp7	391	92	30	121	55	105	137	275.999
Dclre1a	628	331	68	254.001	322	188.001	256.999	506
Nhlrc2	3077	1186	210	1617	1001.999	1064	1168	2306
Ablim1	132	50	15	61	46	64.999	66	107.001
Trub1	206.999	56	19	55	57	97	94	90
Slc18a2	982	793	117	758	462	348	297	633
3110040N11Rik	299	157	37.001	157	165.001	171	163.999	294.001
Btbd1	1027.671	884.189	97.598	396.457	427.192	310.148	288.916	669.382
Hdgfl3	213.971	146.848	25.592	103.999	141.571	97.549	109.687	211.081
P4hb	20210	5792	1322	5596	6496	10625	9304	17243
Arhgdia	32093	11820	2348	14022	6251	14066	12575	25876
Ints4	2050.999	615	132	680.999	570	868	822	1554
Alyref	128.274	84	20	87.999	118.371	96.322	62	122.788
Anapc11	3634.133	1611	329	1459	1156.114	1359.799	1369	2518.999
Pcyt2	3607	1292.999	323	1553.001	929	1259	1083.999	2235.917
Sirt7	7530.557	3608.891	651.328	2920.382	3002.106	3083.331	3001.568	5766.908
Tollip	4101	1929	332	1522.001	1593.999	1780	1778	3905
Aspscr1	4683.703	2152.999	444.001	2003.001	1194.788	1836.732	1727.172	3870.585
Cenpx	1737	720	143.001	529.999	881.001	1005	757	1434
Lrrc45	980.001	322	92	291.001	177	444	400	835
Mob2	2085.001	784	136.001	900.002	555	712.999	519	1341
Maged1	318	57	18	92	13	48	21	139
Fasn	181	154.999	37.999	108	11	140	112	333.001
Arhgap19	400	249	43	158	184	237	235	437
Dus1l	1594.999	612	137	772	511	818.999	644.001	1421.999
Gps1	3806.293	1579.212	313.999	1252.716	1169.869	1657.156	1653.616	2854.924
Zdhhc16	1893.813	708.024	140.052	966.368	279.863	797.45	717.614	1729.563
Rfng	735	218	51	230	123	437	360	630
Mms19	1145.187	501.973	81.948	679.63	394.137	456.866	435.388	1074.437
Slc16a3	15911.855	4640.29	1017.058	6102.847	1548.161	7334.32	5659.409	11288.554
Csnk1d	9475.144	2726.712	696.941	3203.154	2065.732	3853.678	3831.591	7110.447
Ogfod3	437.599	223.436	21.618	157.739	102.969	119.722	132.725	344.836
Ubtd1	1091	614	60	416	189	507	413	992
Wdr45b	2771.988	1065.999	239	1043	1001	1140.793	1270.999	2639.763
Pi4k2a	1126	923	140	687	813.492	465	422.999	1072
R3hcc1l	2110.841	785.475	198	833	664.15	960.12	872.988	1551
Hps1	1936.48	671.957	161	619.999	432.994	865.785	618.428	1466.302
Got1	1389	349	98	397.001	463	622	620	1155
Entpd7	5778.271	3870.456	466.316	3465.429	2754.754	1707.558	1681.203	4517.634
Cutc	900	300	77	264	337	259	320	681
Abcc2	93	21	3	77	34	30	22	44
Dnmbp	265	140.999	29	117	92	134	82	376
Erlin1	2369.999	860	146.999	647	610	816	725	1606.999
Chuk	3929.987	1476.789	399	1209.001	1695.747	1729.989	1818.995	3216.984
Cwf19l1	1002	269	51	318	247.001	405	295.999	529.001
Scd2	302	56	19	104	72	125.415	94	193
Ndufb8	12536.955	5612	1110	4237.91	5241.845	4418	3953.722	8325.844
Mrpl43	1170.115	436.204	103.815	397.353	485.532	599.333	499.843	938.133
Twnk	351.884	185.795	22.185	145.647	73.31	152.667	96.157	276.867
Sfxn3	10543.999	5220	939.574	4583.001	3264.981	4281	4147.999	9630
Kazald1	130	79	6	41	82	53	60	94
Btrc	764	305.001	48	292.251	348.006	363.003	283.988	473.219
Poll	292	167	17	219	66	138	90	304
Oga	3556.035	1857.085	332	1988.577	1543.956	1027.642	1072.736	2254.614
Ldb1	459	205	33	305	86.129	261.999	152	431.001
Gbf1	2199	949.989	167.999	623.985	657	1040.001	815.942	1696.917
Nfkb2	9942.849	3276.544	557.722	3307.479	1419.421	4607.058	3299.204	6520.796
Fbxl15	471.518	185.594	26.903	221.214	92.486	222.996	201.175	227.021
Mfsd13a	531	189.342	64	273	171	195	200.25	611.999
Actr1a	7780	2720	563	2715	2180	2940.999	2466.999	5370.999
Sufu	814	208	41	288.001	124.001	303.001	276	675
Hexa	16203.787	6628.651	1273.761	5343.947	5462.112	7503.66	6583.891	14294.333
Arih1	1887	802	152	642	706	477.999	456	1082
Bbs4	490.951	266.202	34	143.053	279.559	135	152.671	347.452
Adpgk	1534.049	604.797	132	573.946	351.44	583	586.328	1268.549
Parp6	599	486.999	49	277	275.999	395	277.001	614
Limd1	5492.999	2278	461	2449	1596.999	2440	2279	4394
Sacm1l	3984.601	1860.858	228.032	1538.631	1585.001	1509.622	1703.165	3533.351
Fyco1	1545	742.65	161.001	779	428.001	685.001	590.933	1501.001
Slc6a20b	180.826	92.142	7.968	86.839	93.999	100.378	160.429	294.61
Lztfl1	436.925	111.85	41.582	204.753	238	202.63	150.185	356.592
Tbl1x	1109	605	120	512	653	599	539	1209
Hsd17b10	1275.999	530.999	130	370	656	559	536	1074.001
Huwe1	2110	838.015	179	752.999	780.999	673	749.999	1447.999
Fam120c	35.612	43.687	5.71	34.549	30.664	40.664	32.502	149.842
Tsr2	396.88	127.947	22	90.98	100.738	230.881	118.001	323.92
Gnl3l	1136	509	88	542	576	480	438	927
Apex2	364.747	69	22	40	53	123.999	133.999	223
Abhd6	259	48	19	150	82	69	57	130
Flnb	34	11	6	31	21	22	51	57
Dnase1l3	127	90	20	43	32	18	10	52
Polr3a	783.001	401	60	339.999	255	405	301	692
Sat1	35925.996	24360.978	3715.001	21459.995	19385.969	12902.976	12988.984	28172.959
Acot9	3302.99	1054.993	223	853.995	1033.949	1415.96	1223.936	2501.924
Prdx4	454	238	35	166	189	184	193	400
Rps24	1824.689	715.793	110.692	447.675	883.615	1048.329	895.307	1693.263
Ptprj	10782	4963.963	868	5250.001	3384	3420	3169	7561
Banp	1063	367	95.001	329	303.001	625.999	533	889.953
Itgb8	884	299	50	174	280.999	305	342	473
Sp4	792	224	36	163	193	193	212	650.001
Atp10a	313	84	13	75	12	116	94	99
Ube3a	2150.442	829.578	184.901	598.364	1131.782	1009.309	1107.936	1994.349
Padi4	312	103	17	46	41	68	70	54
Kdm5c	4438.001	1652	272	1684	533	1977	1640.999	3805.001
Sbds	5553.001	2543	470	2162	2121.001	1986	1791.001	4122
Rabgef1	2933.999	1366.001	272	1343	1144.999	1305	1158	2283
Cd63	7511.256	3466.533	659.886	3048.584	3888.2	3848.42	4266.758	9561.892
Gdf11	273	190	29	239	223	95	101	214
Ormdl2	2919.129	1304.98	229.613	1030.642	1230.972	978.303	1013.641	2031.097
Dnajc14	8283.947	3796.019	676.386	3155.519	2402.058	2977.742	2715.292	6883.969
Mmp19	706.689	310.913	82.421	284.613	220.03	390.861	368.596	913.433
Dgka	688	243	43	152	321.006	196.986	190	359.997
Cdk2	2762	992	198	954	858	862.001	735.001	2005.999
Rps26	2479.293	728.82	166.629	363.731	1243.544	1589.13	1189.98	1931.453
Pa2g4	2295.996	656	136	541	725.996	1061.985	969.958	1852.98
Esyt1	5566.759	1823.909	420.925	2142.93	1334	2645.951	2240.668	4572.428
Smarcc2	8782.001	3028	630.001	3255.001	1588.999	3456.002	3000	6398
Chmp6	2978	1299.999	274	1190	970	1651	1247	2816.001
Baiap2	553.001	214.001	41	86	204.999	370	319	758
Rnf41	1936.001	752	121	710	629	850.999	676	1263.999
Nabp2	1494	558.001	104.999	626	447	740	512	1211
Aatk	187	24	5	93	16	80	32	154
Tepsin	917	410	66	358	145	337.001	275.001	765
Cnpy2	2410	1046.999	161	651.001	844.999	950	894	1581
Faap100	853	338	71	396.001	95	502.999	405	862.999
Atp5b	13334	4139.001	876.999	3746.001	3706.988	7239.976	6762.956	11352.993
Prim1	93	65	13	91	47.001	106	65	87.001
Nab2	3235.181	1074.445	182.714	1092.832	353.73	1321.807	976.338	2593.657
Shmt2	439	178	65.001	288	257	302.992	213.999	294
R3hdm2	938	331	53	443.001	358.998	322	266.999	731.037
Ddit3	564	115.051	25	37	175.001	276	269.454	476
Mbd6	770	210	29	811.999	68	482.999	338	593
Dctn2	2315	654	133	662.001	396	1040	965.001	1743.999
Ttc4	1242.999	533	106	475.999	322.001	509	462	943
Pip4k2c	2996.937	974.782	244	1101.94	531.587	1302.099	1220.963	2623.624
Hdhd2	1435.6	526.476	102.001	353.999	520.995	517.453	424.022	804.459
Agap2	83	90	9	108	16	56	58	83
Pias2	1230	488.992	74	407	241.001	391.999	350	778
Atp5a1	9947	3474	672	2958.999	3609	5368.999	4758	9321
Pstpip2	3377.727	1362.432	255.828	1188.147	1140.656	1455.727	1276.72	2637.584
Atp23	505	127	22	69	71	120	101	323
Usp33	3720.178	1541.057	340.926	1185.973	1323.783	1185.111	1257.464	2613.735
Clns1a	3220.998	1096	250	1166	1237.885	1124.942	1036.992	2733.998
Paip1	2350	1383	233	1227	1607	716	731	1890
Nnt	549.724	321.339	45.459	199.181	162.822	270.758	347.288	598.696
Paox	255.46	67	8	13	52.865	104.64	82.31	110.557
Echs1	1945.001	628	122	601	599.999	791	733.999	1357.656
Fuom	94	43.001	12	12	17	54	32	33
Zfp511	698.899	467.005	85.944	424.969	448.247	493.405	427.386	787.727
Adam8	18133.999	7590.999	1352	6184.001	4872	8281.999	7366	15075
Tubgcp2	1252.099	726.996	125.056	548.031	388.753	545.594	640.614	1359.273
Bet1l	1806.917	645.432	132.75	503.312	466.722	710.169	609.262	1044.576
Ric8a	3353.421	802.317	212.531	1007.009	839.629	1136.196	935.207	2237.102
Sirt3	655.156	295.401	58.719	210.868	219.332	233.707	224.862	522.819
