KO.PLT_PBMC_Vehicle_REP1	KO.PLT_PBMC_Vehicle_REP2	KO.PLT_PBMC_Vehicle_REP3	KO.PLT_PBMC_Vehicle_REP4	WT.PLT_PBMC_Vehicle_REP1	WT.PLT_PBMC_Vehicle_REP2	WT.PLT_PBMC_Vehicle_REP3	WT.PLT_PBMC_Vehicle_REP4
Chtop	4348.996	1936.972	279	1636.002	1537.926	1665.991	1381.941	3048.961
Snapin	5719.941	2020.214	388.265	1739.055	2007.947	1886.075	2008.096	4415.536
S100a4	541	244	27	158	215	317	233	381
S100a6	8365	3235	631	1710	3425.999	4517.001	3525	6739
Icam2	470.001	178	43	143.001	180	265	216	355.999
Mapk7	4254.983	1630.998	302.001	1983	843	1908.976	1733	4575.996
Sec24b	1742	737.999	143	791	424	922	895.001	1856.001
Rmnd5b	1782	648	114	488.999	532	599.001	514	1101.999
Nhp2	2760	1377	265	954	1173	1441	1320	2347
Vps9d1	948.102	228	60	311.001	215	524.001	473.999	816.35
Zfp276	1412.869	358.925	70.018	580.296	232.704	829.755	521.57	1087.72
Mfsd10	1479	649	151	467.003	291.998	814	697	1492.999
Luzp1	1212.001	427	86	512	453	528	466	961.001
Kctd10	4346.798	1091.22	251.659	1007.637	979.58	1747.502	1660.586	3194.3
Poldip2	1864	742	111	870.999	460	712	679.001	1518
Ift20	2542.999	1067.001	186.001	849	969.999	940	829	1865
Pcbp3	187	33	15	39	34	88	95	127
Lgals9	848	291	67	140	248	657	475.999	945
Araf	3070.189	976.999	254.999	1049	782.32	1368.493	1310.001	2836.007
Cfp	8140	3064	627	2198	3271	3885	3558	7750
Uxt	324.001	156.984	31	85	122.488	165.695	136.888	231.398
Cnnm3	214	61	16	103	95.13	102	55	160.558
Lman2l	3444	1448.904	297.999	1934	783.998	1304.925	1530.585	3200.901
Mcm3ap	1121	543.859	101	402.948	290	555.622	519.999	1030.904
Pcnt	2053.999	986.992	167	959	613.999	778	832.001	1787
Mxd1	1248	345	98	481	373	512	455	1036
Snrnp27	3703.999	1994.001	284	1382	1725	1358.999	1434	2896.001
Ocrl	226	143	18	117	45.91	137	142	258
Calm1	81508	35891.999	6779	27466	35305	31944.365	30327	64666.867
Agpat3	86.001	43	20	45	69	73.999	46.001	128
Uhrf1	233	61	20	67	29.925	67	95	89.956
Dpp9	1649.001	389	122	658	390	798	641	1614
Lsr	872.579	449.867	73.774	289.037	229.907	512.238	379.659	755.607
Gramd1a	1741.77	957.998	159.001	995.929	450.276	940.499	909.978	1745.892
Ckb	786.972	258.991	59	352.991	164.938	299.941	378	418
Sp1	2193	655	160	857	475	1171	947	2252
Itgb7	1123	370	72	384	297	684	541	931.013
Myg1	1377.503	626.363	107.781	670.35	446.853	420.355	411.007	877.616
Rarg	964	201	41	333	134	376	291	513
Pfdn5	4649.469	1870.598	317.177	1346.52	1898.089	2188.522	1787.978	3230.038
Rrp15	1167	257	79	392	483	446	414	975
Srr	245.477	188.848	28.526	193.795	153.935	224.183	139.193	400.561
Acp5	2545	1230.417	217.001	969	1366	1433.267	1369.839	2588
Fbxo9	1070	229	71	303.001	285	536.999	317.001	719
Vps50	1026	291	59	237	545.034	554	437.001	1019.998
Hars	1583.837	560.764	106.169	332.258	458.079	783.928	710.278	1114.647
Zmat2	1520	556	92	442	493	587	585	1220
Smg5	3856.621	1732.671	290	2087.848	397.001	1458	1391	3360.906
Cct3	3631.999	1124	251.001	812.001	1217.998	1835.999	1683.999	3412.999
Glmp	11236.337	4664.328	939.001	3828.045	3738.973	4766.389	4262.423	9085.876
Mef2d	794.061	485.301	116.892	503.732	310.144	481.102	384.721	965.894
Snd1	5769.001	2376	493.001	2435	1980	3319	2758.999	6086.999
Slc19a1	106	58	4	13.001	33	95	74	107
Kpnb1	3263.505	1083.001	243	1224	1509.035	1519	1464.592	2705
